x,file_name,speaker,sex,Number,wordTarget,word,singGem,syllType,vowelLength,syllStruct,c.v,phoneme,modeArticulation4,placeArticulation,voiced.unvoiced,placeVoicing,durationC2,durationVoicedPercC2,durationVOTAll,VOTDec,durationBurst,durationVOT,durationVoicedPercVOTAll,intensityOnsetVOTAll,intensityOffsetVOTAll,durationV2,f0OnsetV2,intensityOnsetV2,f1OnsetV2,h1mnh2OnsetNormV2,durationV1,f0OffsetV1,intensityOffsetV1,f1OffsetV1,h1mnh2OffsetNorm
1,01_F_W_main_1.wav,sp1,F,8,saba2,saba2,singleton,trochaic,shortV1,V1C2V2,C2,b,stop,bilabial,voiced,bilabial,60.192,100,19.223,-60.192,6,13,100,52.552,64.476,89.008,247.259,67.276,699.3,-2.084,90.468,238.629,63.776,572.974,9.123
2,01_F_W_main_1.wav,sp1,F,38,2adar,2adar,singleton,trochaic,shortV1,V1C2V2,C2,d,stop,alveolar,voiced,alveolar voiced,87.021,57.47126437,11.308,-87.021,8,3,0,56.928,63.395,155.232,241.093,66.585,541.895,5.307,48.417,239.162,70.377,644.354,NA
3,01_F_W_main_1.wav,sp1,F,68,3aTab,3aTab,singleton,trochaic,shortV1,V1C2V2,C2,Tt,stop,pharyngealised,voiceless,pharyngealised voiceless,106.91,43.92523364,21.445,21,7,14,0,52.623,59.685,86.317,245.363,61.124,659.119,11.842,51.964,240.506,68.65,941.943,0.981
4,01_F_W_main_1.wav,sp1,F,98,Hakam,Hakam,singleton,trochaic,shortV1,V1C2V2,C2,k,stop,velar,voiceless,velar,109.712,32.72727273,22.01,22,11,11,0,55.27,57.747,113.302,239.385,60.938,444.444,17.516,63.215,238.447,66.397,660.786,3.576
5,01_F_W_main_1.wav,sp1,F,371,Haba2,Haba2,singleton,trochaic,shortV1,V1C2V2,C2,b,stop,bilabial,voiced,bilabial,76.996,67.53246753,16.396,-76.996,9,7,41.17647059,53.373,64.179,76.441,244.032,64.529,679.062,13.017,61.523,205.35,65.853,637.487,0.861
6,01_F_W_main_1.wav,sp1,F,395,fatal,fatal,singleton,trochaic,shortV1,V1C2V2,C2,t,stop,alveolar,voiceless,alveolar voiceless,101.024,83.16831683,28.779,-101.024,11,18,0,53.523,55.595,76.969,211.629,55.654,729.039,4.492,48.332,223.067,59.175,672.229,NA
7,01_F_W_main_1.wav,sp1,F,419,baTal,baTal,singleton,trochaic,shortV1,V1C2V2,C2,Tt,stop,pharyngealised,voiceless,pharyngealised voiceless,113.885,79.8245614,21.058,-113.885,7,14,0,51.15,57.605,128.451,250.42,59.652,574.405,16.358,65.001,214.19,61.305,748.889,0.284
8,01_F_W_main_1.wav,sp1,F,449,sakan,sakan,singleton,trochaic,shortV1,V1C2V2,C2,k,stop,velar,voiceless,velar,107.313,48.59813084,27.06,27,12,15,33.33333333,59.837,61.3,107.776,227.676,62.764,723.954,8.053,66.045,214.231,62.904,641.803,6.79
9,01_F_W_main_1.wav,sp1,F,743,2abaD,2abaD,singleton,trochaic,shortV1,V1C2V2,C2,b,stop,bilabial,voiced,bilabial,64.881,100,23.229,-64.881,9,14,100,50.554,60.142,79.88,216.769,60.458,615.731,2.374,60.386,222.699,64.035,548.37,12.408
10,01_F_W_main_1.wav,sp1,F,767,3atab,3atab,singleton,trochaic,shortV1,V1C2V2,C2,t,stop,alveolar,voiceless,alveolar voiceless,100.92,89.10891089,20.297,-100.92,7,14,15,55.35,61.006,123.152,233.516,63.697,697.162,2.996,127.721,223.633,56.841,741.283,8.542
11,01_F_W_main_1.wav,sp1,F,797,3adal,3adal,singleton,trochaic,shortV1,V1C2V2,C2,d,stop,alveolar,voiced,alveolar voiced,80.235,100,25.866,-80.235,7,19,100,53.044,59.067,104.346,223.386,61.494,598.024,5.437,97.014,207.78,64.3,817.304,8.511
